33,Ramesh Ramesh Sport Club,NULL,"4-A, Navlakha Rd, Navlakha, Angad Kapoor Region, Janki Nagar, Indore, Madhya Pradesh 452001",22.6987,75.8777,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
34,BasketBall Complex,NULL,"IDA Building, 7, Race Course Rd, Near Abhay Parshal, Race Course Rd, Near Abhay Parshal, New Palasia, Indore, Madhya Pradesh 452001",22.7274,75.8844,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",NULL,NULL,NULL
35,HMG Center For sport excellence Indore,NULL,"Plot 1472, Behind Silicon Valley, Near, Indore Mega City Cir, Indore",22.6287,75.8072,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",NULL,NULL,NULL
36,Sports House,NULL,"96, 97, Nagar Nigam Rd, Nagar Nigam, Indore, Madhya Pradesh 452007",22.7221,75.859,NULL,087706 20250,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-30,NULL
37,The Sports Club Indore,NULL,"QW43+FF8, Scheme No 94 Sector WA, Indore, Madhya Pradesh 452010",22.7564,75.9039,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
38,Q Sports,NULL,"PVCX+G3X, Vinoba Nagar, Kanadia Rd, Savindnagar, Vinoba Nagar, Tilak Nagar, Indore, Madhya Pradesh 452018",22.7221,75.9163,NULL,099264 28599,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
39,Olympus Sport Club,NULL,"Holani Building, 201, Tower Square, Khatiwala Tank, Indore, Madhya Pradesh 452014",22.6974,75.8636,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",1899-12-30,1899-12-31,NULL
40,Oshin Sport Club,NULL,"Genius Temple, 4th floor Starlit Tower, Yeshwant Niwas Rd, next to Yeshwant Niwas Rd, Indore, Madhya Pradesh 452001",22.7238,75.8744,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",NULL,NULL,NULL
41,Indore Sports Club,NULL,"ITI ground, Prime City Rd, Prime City, Sukhlia, Indore, Madhya Pradesh 452011",22.7545,75.8717,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
42,Vikram Sports Club,NULL,"No 7, Race Course Rd, New Palasia, Indore, Madhya Pradesh 452001",22.7274,75.8844,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
43,Rising Sports Academy,NULL,"9, Airport Rd, Venkatesh Nagar, Indore, Madhya Pradesh 452005",22.7263,75.8335,NULL,090666 66231,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
44,A. L. E. T. Sport,NULL,"10 resham wala, lane, Rajwada, Indore, Madhya Pradesh 452001",22.7177,75.8545,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",NULL,NULL,NULL
45,DNA Fitness Zone,NULL,"62, Shree Nagar, Extension Near Anand Bajar, Khajrana Main Rd, opp. SBI Bank, Indore, Madhya Pradesh 452016",22.7319,75.8948,NULL,078983 90891,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday",1899-12-30,1899-12-31,NULL
46,Indore Sport Club,NULL,"PV5J+7XG, Residency Area, Indore, Madhya Pradesh 452001",22.7041,75.8882,NULL,NULL,NULL,"Monday, Tuesday, Wednessday, Thursday, Friday, Satarday, Sunday",1899-12-30,1899-12-31,NULL
